Rule,IF,THEN Diagnosis
1,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Thấp (low)),Lành tính (benign = 0)
2,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Trung bình (medium)),Lành tính (benign = 0)
3,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Cao (high)),Lành tính (benign = 0)
4,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Thấp (low)),Lành tính (benign = 0)
5,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Trung bình (medium)),Lành tính (benign = 0)
6,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Cao (high)),Lành tính (benign = 0)
7,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Thấp (low)),Lành tính (benign = 0)
8,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Trung bình (medium)),Lành tính (benign = 0)
9,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Cao (high)),Ác tính (malignant = 1)
10,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Thấp (low)),Lành tính (benign = 0)
11,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Trung bình (medium)),Lành tính (benign = 0)
12,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Cao (high)),Lành tính (benign = 0)
13,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Thấp (low)),Lành tính (benign = 0)
14,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Trung bình (medium)),Lành tính (benign = 0)
15,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Cao (high)),Ác tính (malignant = 1)
16,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Thấp (low)),Lành tính (benign = 0)
17,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Trung bình (medium)),Ác tính (malignant = 1)
18,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Cao (high)),Ác tính (malignant = 1)
19,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Thấp (low)),Lành tính (benign = 0)
20,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Trung bình (medium)),Ác tính (malignant = 1)
21,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Cao (high)),Ác tính (malignant = 1)
22,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Thấp (low)),Ác tính (malignant = 1)
23,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Trung bình (medium)),Ác tính (malignant = 1)
24,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Cao (high)),Ác tính (malignant = 1)
25,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Thấp (low)),Ác tính (malignant = 1)
26,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Trung bình (medium)),Ác tính (malignant = 1)
27,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Cao (high)),Ác tính (malignant = 1)
