Rule,IF,THEN
1,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Thấp (low)),(out IS 0.5)
2,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Trung bình (medium)),(out IS 0.5)
3,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Cao (high)),(out IS 0.5)
4,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Thấp (low)),(out IS 0.5)
5,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Trung bình (medium)),(out IS 0.5)
6,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Cao (high)),(out IS 0.5)
7,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Thấp (low)),(out IS 0.5)
8,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Trung bình (medium)),(out IS 0.5)
9,(Clump Thickness IS Thấp (low)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Cao (high)),(out IS 0.5)
10,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Thấp (low)),(out IS 0.5)
11,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Trung bình (medium)),(out IS 0.5)
12,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Cao (high)),(out IS 0.5)
13,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Thấp (low)),(out IS 0.5)
14,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Trung bình (medium)),(out IS 0.5)
15,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Cao (high)),(out IS 0.5)
16,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Thấp (low)),(out IS 0.5)
17,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Trung bình (medium)),(out IS 0.5)
18,(Clump Thickness IS Trung bình (medium)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Cao (high)),(out IS 0.5)
19,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Thấp (low)),(out IS 0.5)
20,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Trung bình (medium)),(out IS 0.5)
21,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Thấp (low)) AND (Uniformity of Cell Shape IS Cao (high)),(out IS 0.5)
22,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Thấp (low)),(out IS 0.5)
23,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Trung bình (medium)),(out IS 0.5)
24,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Trung bình (medium)) AND (Uniformity of Cell Shape IS Cao (high)),(out IS 0.5)
25,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Thấp (low)),(out IS 0.5)
26,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Trung bình (medium)),(out IS 0.5)
27,(Clump Thickness IS Cao (high)) AND (Uniformity of Cell Size IS Cao (high)) AND (Uniformity of Cell Shape IS Cao (high)),(out IS 0.5)
